OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu5512	Deng_Y_2012	0.569735624200857	2.63503798104336	2.97329835535602	0.886233961787481	0.375491466346248	0.986765697839556	579.778852879435	0.0982677483615178	100	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus
Otu1699	Deng_Y_2012	0.538591553531975	2.29559742709842	1.38510758155242	1.65734233042428	0.0974502836680225	0.986765697839556	579.778852879435	0.0928960328333974	100	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
Otu6976	Deng_Y_2012	0.763721128228352	2.19912455549451	1.04091935067318	2.11267525584214	0.0346285725765231	0.986765697839556	579.778852879435	0.131726282260103	100	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	unidentified
Otu2819	Deng_Y_2012	0.891724264765346	1.91286266912816	0.883165967155758	2.16591528689511	0.0303176609292292	0.986765697839556	579.778852879435	0.153804206610271	100	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
Otu395	Deng_Y_2012	0.478345000781319	1.82657753921261	1.22768883360591	1.48781799525509	0.136798898615135	0.986765697839556	579.778852879435	0.0825047340732849	100	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Otu209	Deng_Y_2012	0.567897553572	1.82295653043057	1.01815144558128	1.79045714499753	0.073380450730647	0.986765697839556	579.778852879435	0.097950718752775	100	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella
Otu2599	Deng_Y_2012	0.802573046017459	1.80726819256262	2.13592250600606	0.846130038651079	0.397480205053192	0.986765697839556	579.778852879435	0.138427443848897	100	Bacteria	Acidobacteria	Holophagae	Subgroup7	unidentified	unidentified
Otu5178	Deng_Y_2012	0.253699385386411	1.7493796988172	2.51623998633271	0.695235632657928	0.486907645106225	0.986765697839556	579.778852879435	0.0437579577327509	100	Bacteria	Bacteroidetes	Ignavibacteria	OPB56	unidentified	unidentified
Otu1226	Deng_Y_2012	0.273360687956923	1.74538883673166	2.38187071050324	0.732780679083498	0.463692207239791	0.986765697839556	579.778852879435	0.0471491305002407	100	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Domibacillus
Otu62	Deng_Y_2012	0.718878895119188	1.73593149856752	0.981466790311996	1.76871139778014	0.0769420492264769	0.986765697839556	579.778852879435	0.123991913735543	100	Bacteria	Acidobacteria	Subgroup6	unidentified	unidentified	unidentified
Otu6016	Deng_Y_2012	0.346996176401962	1.68723834087635	1.83416519626461	0.919894426255886	0.357627931854214	0.986765697839556	579.778852879435	0.0598497469644896	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter
Otu35	Deng_Y_2012	0.652074899829624	1.54316744837654	0.949030164394661	1.62604678573189	0.103939702988815	0.986765697839556	579.778852879435	0.112469590187903	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	RhizobialesIncertaeSedis	Nordella
Otu5450	Deng_Y_2012	0.20524908025092	1.5144007414715	2.98855402404852	0.506733600692948	0.6123417511483	0.986765697839556	579.778852879435	0.0354012705416148	100	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Otu754	Deng_Y_2012	2.52917923589224	1.51146487188975	0.513172299563448	2.94533604634456	0.00322604071763512	0.986765697839556	579.778852879435	0.436231715477588	100	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
Otu7727	Deng_Y_2012	0.271535356758567	1.48623208351718	2.07584848333889	0.715963662784604	0.474013786468515	0.986765697839556	579.778852879435	0.0468342981828337	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured
Otu213	Deng_Y_2012	0.238014925555306	1.48162434839576	2.20981533589511	0.670474280963216	0.502555496320096	0.986765697839556	579.778852879435	0.0410527090412526	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys
Otu334	Deng_Y_2012	3.06629729975473	1.47489151759704	0.887795732730156	1.66129602026971	0.096654008920539	0.986765697839556	579.778852879435	0.528873601464793	100	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu445	Deng_Y_2012	0.189591283965839	1.46153938117451	2.46587565049407	0.592706035635524	0.553377901460038	0.986765697839556	579.778852879435	0.0327006207667365	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	unidentified
Otu11724	Deng_Y_2012	0.186444639506485	1.43720679194784	2.47907747932534	0.579734519769412	0.562093660797533	0.986765697839556	579.778852879435	0.0321578889227366	100	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
Otu807	Deng_Y_2012	1.3089826705505	1.40905984479604	0.6727838808596	2.09437218233545	0.0362268387970631	0.986765697839556	579.778852879435	0.225772751808645	100	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	unidentified
Otu619	Deng_Y_2012	0.851086267889949	1.37324986460854	0.815358414753812	1.68422848131539	0.092137520954928	0.986765697839556	579.778852879435	0.146794982890991	100	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84	unidentified
Otu7880	Deng_Y_2012	0.173936849050158	1.37298230766282	2.95339119015501	0.464883322006103	0.642015014612876	0.986765697839556	579.778852879435	0.0300005507593648	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	unidentified
Otu54	Deng_Y_2012	0.659157454475511	1.34306849343375	1.05303396596105	1.27542751406694	0.202157965265189	0.986765697839556	579.778852879435	0.113691186079286	100	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ramlibacter
