"OTU"	"Deng_Y_2012"	"Raut_S_2018_1"	"Raut_S_2018_2"	"Raut_S_2018_3"	"Xia_W_2017"	"Yang_S_2019"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu1"	0.898944400350989	-0.16697983495752	0.146639991144472	-0.231111429567157	-0.38009044978671	-0.418092354007109	6	-0.150689676823035	-0.0251149461371725	-1
"Otu10"	NA	-0.923994095932644	0.342066745417851	-0.459128065293327	NA	NA	3	-1.04105541580812	-0.34701847193604	-1
"Otu100"	NA	-0.0564739086833809	0.175764621973387	-0.706402464377802	NA	NA	3	-0.587111751087796	-0.195703917029265	-1
"Otu10014"	-0.121858392511549	1.10009339771307	-0.464051357689958	-0.66651859617384	NA	NA	4	-0.152334948662277	-0.0380837371655692	-1
"Otu1002"	NA	0.756593681096728	0.545856611283164	0.429806785783734	NA	NA	3	1.73225707816363	0.577419026054542	1
"Otu1003"	NA	0.546663237591824	NA	-1.22182584748757	0.159020123485832	NA	3	-0.516142486409914	-0.172047495469971	-1
"Otu10069"	0.180298557523164	NA	0.422236736112331	NA	NA	0.977087809320992	3	1.57962310295649	0.526541034318829	1
"Otu10078"	NA	-0.327346346306736	2.17813189210566	NA	0.48947898987361	0.411335966100748	4	2.75160050177328	0.687900125443321	1
"Otu1008"	-0.808035311118557	0.0102646254089014	-0.0620226059723055	0.156905624832298	NA	NA	4	-0.702887666849663	-0.175721916712416	-1
"Otu10099"	NA	-0.697653177274449	0.801820445552772	0.304743577665837	NA	0.550251263643299	4	0.959162109587459	0.239790527396865	1
"Otu101"	0.317210044307826	0.562825046766055	-0.00243738095994103	NA	0.647499604037247	-0.587240209099373	5	0.937857105051814	0.187571421010363	1
"Otu1011"	-0.335194350693427	0.389198605386399	NA	NA	-0.189067804860847	-0.327538523234382	4	-0.462602073402257	-0.115650518350564	-1
"Otu1012"	NA	-2.40264399559136	1.44287850204961	0.653738171416116	NA	-0.0287357731202444	4	-0.334763095245878	-0.0836907738114696	-1
"Otu10136"	NA	-0.241056618364101	0.292452839883258	-0.730660980785053	NA	NA	3	-0.679264759265896	-0.226421586421965	-1
"Otu1015"	0.38728034063922	-0.933365171981871	-0.239306519069954	0.434515745769748	NA	NA	4	-0.350875604642857	-0.0877189011607142	-1
"Otu10157"	0.850179998453966	NA	NA	NA	-1.78351871660128	0.890595076413064	3	-0.04274364173425	-0.0142478805780833	-1
"Otu1018"	NA	0.237103507920533	-0.0929362837147768	0.207628882000026	NA	NA	3	0.351796106205782	0.117265368735261	1
"Otu1019"	NA	-1.75497061751423	1.6016279721743	2.61325861579055	NA	NA	3	2.45991597045062	0.819971990150207	1
"Otu102"	NA	-1.11590811480819	-3.06606511427951	0.69323715202471	NA	NA	3	-3.48873607706299	-1.16291202568766	-1
"Otu1022"	-0.82599885249319	NA	NA	2.88153734038274	-1.12958710719542	-0.541064609799279	4	0.384886770894851	0.0962216927237128	1
"Otu1023"	NA	0.321409519859361	-0.0623086365717137	-0.523351632971642	NA	NA	3	-0.264250749683995	-0.0880835832279982	-1
"Otu10232"	NA	-1.25527907429831	-0.873884938870834	0.0363121155712363	NA	NA	3	-2.09285189759791	-0.697617299199302	-1
"Otu1024"	-0.319703133463453	-0.629408966665813	-0.384925778464561	-0.836238149664386	NA	NA	4	-2.17027602825821	-0.542569007064553	-1
"Otu1025"	-0.863773827641996	NA	NA	-0.802133657947249	-1.70226706473942	2.54045366389499	4	-0.827720886433675	-0.206930221608419	-1
"Otu1026"	NA	1.04903724947182	NA	NA	0.231373288017934	-0.0101211636051428	3	1.27028937388461	0.42342979129487	1
"Otu1028"	NA	-1.23384457120972	1.03626561938228	-0.909940602020941	NA	NA	3	-1.10751955384838	-0.369173184616127	-1
"Otu1029"	-0.0792587582496327	0.266546051011501	0.230631017008018	NA	-0.0818503216789003	0.305272734926392	5	0.641340723017378	0.128268144603476	1
"Otu103"	-0.700439742928428	-0.658966554275685	-0.836385861031701	0.885552130442158	-1.73460419164977	0.102976535653961	6	-2.94186768378947	-0.490311280631578	-1
"Otu1032"	NA	0.576428543116402	0.381075500786268	0.809008349060551	NA	NA	3	1.76651239296322	0.588837464321074	1
"Otu1033"	NA	-0.507688607156551	0.00615029846484869	-1.21963860011024	NA	NA	3	-1.72117690880194	-0.573725636267314	-1
"Otu10340"	-0.126551834003063	NA	NA	NA	1.11137106134991	-0.696775135669907	3	0.28804409167694	0.0960146972256466	1
