Perturbation	Phylum	Class	Order	Family	Genus	Num	Increase	Decrease	Increase2	Decrease2	pVal	Stat
CO2	Proteobacteria	Alphaproteobacteria	-	-	-	194	111	83	57.2164948453608	42.7835051546392	0.0522831176733622	-
CO2	Proteobacteria	Alphaproteobacteria	Acetobacterales	-	-	4	3	1	75	25	0.625	-
CO2	Proteobacteria	Alphaproteobacteria	Azospirillales	-	-	4	1	3	25	75	0.625	-
CO2	Proteobacteria	Alphaproteobacteria	Caulobacterales	-	-	18	11	7	61.1111111111111	38.8888888888889	0.480682373046875	-
CO2	Proteobacteria	Alphaproteobacteria	Dongiales	-	-	5	4	1	80	20	0.375	-
CO2	Proteobacteria	Alphaproteobacteria	Elsterales	-	-	3	2	1	66.6666666666667	33.3333333333333	1	-
CO2	Proteobacteria	Alphaproteobacteria	Micropepsales	-	-	4	4	0	100	0	0.125	-
CO2	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	-	-	1	0	1	0	100	1	-
CO2	Proteobacteria	Alphaproteobacteria	Reyranellales	-	-	8	7	1	87.5	12.5	0.0703125	-
CO2	Proteobacteria	Alphaproteobacteria	Rhizobiales	-	-	95	50	45	52.6315789473684	47.3684210526316	0.681742505918186	-
CO2	Proteobacteria	Alphaproteobacteria	Rhodobacterales	-	-	1	0	1	0	100	1	-
CO2	Proteobacteria	Alphaproteobacteria	Rhodospirillales	-	-	3	2	1	66.6666666666667	33.3333333333333	1	-
CO2	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	-	-	1	1	0	100	0	1	-
CO2	Proteobacteria	Alphaproteobacteria	Rickettsiales	-	-	1	0	1	0	100	1	-
CO2	Proteobacteria	Alphaproteobacteria	Sneathiellales	-	-	1	0	1	0	100	1	-
CO2	Proteobacteria	Alphaproteobacteria	Sphingomonadales	-	-	19	9	10	47.3684210526316	52.6315789473684	1	-
CO2	Proteobacteria	Alphaproteobacteria	Tistrellales	-	-	10	6	4	60	40	0.75390625	-
CO2	Proteobacteria	Alphaproteobacteria	uncultured	-	-	5	3	2	60	40	1	-
CO2	Proteobacteria	Alphaproteobacteria	unidentified	-	-	11	8	3	72.7272727272727	27.2727272727273	0.2265625	-
CO2	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	-	4	3	1	75	25	0.625	-
CO2	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	-	3	1	2	33.3333333333333	66.6666666666667	1	-
CO2	Proteobacteria	Alphaproteobacteria	Azospirillales	uncultured	-	1	0	1	0	100	1	-
CO2	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	-	10	5	5	50	50	1	-
CO2	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	-	8	6	2	75	25	0.2890625	-
CO2	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	-	5	4	1	80	20	0.375	-
CO2	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	-	3	2	1	66.6666666666667	33.3333333333333	1	-
CO2	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	-	4	4	0	100	0	0.125	-
CO2	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	-	1	0	1	0	100	1	-
CO2	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	-	8	7	1	87.5	12.5	0.0703125	-
CO2	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	-	3	2	1	66.6666666666667	33.3333333333333	1	-
CO2	Proteobacteria	Alphaproteobacteria	Rhizobiales	Ambiguous_taxa	-	3	2	1	66.6666666666667	33.3333333333333	1	-
CO2	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	-	14	5	9	35.7142857142857	64.2857142857143	0.4239501953125	-
