Phylum	Class	Order	Family	Genus	CO2_Num	CO2_Positive	CO2_Negative	CO2_Stat	drought_Num	drought_Positive	drought_Negative	drought_Stat	nitrogen_Num	nitrogen_Positive	nitrogen_Negative	nitrogen_Stat	phosphorous_Num	phosphorous_Positive	phosphorous_Negative	phosphorous_Stat	warming_Num	warming_Positive	warming_Negative	warming_Stat
Acidobacteria	-	-	-	-	163	41.1042944785276	58.8957055214724	Decrease	158	27.2151898734177	72.7848101265823	Decrease	313	39.297124600639	60.702875399361	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Acidobacteriia	-	-	-	NA	NA	NA	NA	35	20	80	Decrease	165	41.2121212121212	58.7878787878788	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured	-	NA	NA	NA	NA	NA	NA	NA	NA	32	28.125	71.875	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Acidobacteriia	Solibacterales	-	-	NA	NA	NA	NA	31	19.3548387096774	80.6451612903226	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae(Subgroup3)	-	NA	NA	NA	NA	31	19.3548387096774	80.6451612903226	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae(Subgroup3)	Bryobacter	NA	NA	NA	NA	27	22.2222222222222	77.7777777777778	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Acidobacteriia	Subgroup2	-	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	32.5	67.5	Decrease
Acidobacteria	Blastocatellia(Subgroup4)	-	-	-	24	20.8333333333333	79.1666666666667	Decrease	71	26.7605633802817	73.2394366197183	Decrease	47	19.1489361702128	80.8510638297872	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Blastocatellia(Subgroup4)	Blastocatellales	-	-	NA	NA	NA	NA	26	19.2307692307692	80.7692307692308	Decrease	21	14.2857142857143	85.7142857142857	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Blastocatellia(Subgroup4)	Blastocatellales	Blastocatellaceae	-	NA	NA	NA	NA	26	19.2307692307692	80.7692307692308	Decrease	21	14.2857142857143	85.7142857142857	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Blastocatellia(Subgroup4)	Blastocatellales	Blastocatellaceae	Blastocatella	NA	NA	NA	NA	10	10	90	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Blastocatellia(Subgroup4)	Blastocatellales	Blastocatellaceae	JGI0001001-H03	NA	NA	NA	NA	NA	NA	NA	NA	7	0	100	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Blastocatellia(Subgroup4)	Pyrinomonadales	-	-	10	10	90	Decrease	35	31.4285714285714	68.5714285714286	Decrease	18	11.1111111111111	88.8888888888889	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Blastocatellia(Subgroup4)	Pyrinomonadales	Pyrinomonadaceae	-	10	10	90	Decrease	35	31.4285714285714	68.5714285714286	Decrease	18	11.1111111111111	88.8888888888889	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Blastocatellia(Subgroup4)	Pyrinomonadales	Pyrinomonadaceae	RB41	10	10	90	Decrease	35	31.4285714285714	68.5714285714286	Decrease	18	11.1111111111111	88.8888888888889	Decrease	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Holophagae	-	-	-	NA	NA	NA	NA	9	11.1111111111111	88.8888888888889	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acidobacteria	Holophagae	Subgroup7	-	-	NA	NA	NA	NA	9	11.1111111111111	88.8888888888889	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacteria	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	267	66.2921348314607	33.7078651685393	Increase	NA	NA	NA	NA	172	36.046511627907	63.953488372093	Decrease
Actinobacteria	Acidimicrobiia	-	-	-	NA	NA	NA	NA	63	34.9206349206349	65.0793650793651	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacteria	Acidimicrobiia	Microtrichales	-	-	NA	NA	NA	NA	26	11.5384615384615	88.4615384615385	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	-	NA	NA	NA	NA	9	11.1111111111111	88.8888888888889	Decrease	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacteria	Actinobacteria	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	118	72.0338983050847	27.9661016949153	Increase	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	80	Decrease	NA	NA	NA	NA
Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	80	Decrease	NA	NA	NA	NA
Actinobacteria	Actinobacteria	Micrococcales	-	-	NA	NA	NA	NA	NA	NA	NA	NA	11	100	0	Increase	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacteria	Actinobacteria	Propionibacteriales	-	-	NA	NA	NA	NA	NA	NA	NA	NA	15	100	0	Increase	NA	NA	NA	NA	11	9.09090909090909	90.9090909090909	Decrease
Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	-	NA	NA	NA	NA	NA	NA	NA	NA	15	100	0	Increase	NA	NA	NA	NA	11	9.09090909090909	90.9090909090909	Decrease
Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	NA	NA	NA	NA	NA	NA	NA	8	100	0	Increase	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacteria	Thermoleophilia	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA	102	68.6274509803922	31.3725490196078	Increase	NA	NA	NA	NA	55	16.3636363636364	83.6363636363636	Decrease
