OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu1038	Bastida_F_2017_1	13.2761482467433	6.78659986027768	1.77068158219643	3.83276130983375	0.000126712886970336	0.00547399671711853	12293.9887040757	0.107988941313586	100	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Otu1847	Bastida_F_2017_1	1.62657982735511	3.70649608051223	1.08556575911935	3.41434505406568	0.000639355479153837	NA	12293.9887040757	0.0132306923855873	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured	unidentified
Otu6455	Bastida_F_2017_1	3.83219755268989	3.11391933955536	0.914789674121728	3.40397298706391	0.000664133208860812	0.0187112312757307	12293.9887040757	0.0311713118088309	100	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Otu7008	Bastida_F_2017_1	10.3021501735625	3.07884802303138	0.581645585711962	5.2933403066452	1.20102122965065e-07	2.83203701360038e-05	12293.9887040757	0.0837982726480555	100	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
Otu4802	Bastida_F_2017_1	1.08821746776707	3.07487066012387	1.21225279642811	2.53649294040315	0.0111969000269529	NA	12293.9887040757	0.00885162247958063	100	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1
Otu3136	Bastida_F_2017_1	1.03264024554817	3.0211204006634	1.23304223285441	2.45013538074014	0.0142802511697869	NA	12293.9887040757	0.00839955420819467	100	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured
Otu867	Bastida_F_2017_1	7.13474723481067	2.73646397941419	1.85195019775838	1.47761207765005	NA	NA	12293.9887040757	0.0580344378586044	100	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	unculturedbacterium
Otu685	Bastida_F_2017_1	1.6675666958313	2.60763628204962	1.04928537499245	2.48515451010491	0.0129495215975579	NA	12293.9887040757	0.0135640818937671	100	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
Otu200	Bastida_F_2017_1	1.15680287642945	2.57927815890936	1.16215754215496	2.2193877037761	0.0264603594756353	NA	12293.9887040757	0.00940950007580486	100	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	ScytonemaUTEX2349
Otu3075	Bastida_F_2017_1	1.11954210651094	2.49060817587617	1.18595559044842	2.10008553097208	0.035721317881867	NA	12293.9887040757	0.00910641886420301	100	Bacteria	Actinobacteria	Acidimicrobiia	unidentified	unidentified	unidentified
Otu3537	Bastida_F_2017_1	2.03912745246882	2.48691894916431	0.953296893495024	2.60875595644359	0.00908720237391379	NA	12293.9887040757	0.0165863781198433	100	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Otu4928	Bastida_F_2017_1	1.12821720742783	2.46444241526266	1.31367776605772	1.87598700300632	0.060657064596497	NA	12293.9887040757	0.00917698262610083	100	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae(Subgroup3)	Bryobacter
Otu1226	Bastida_F_2017_1	1.02256122659721	2.41902643619476	1.18474402940676	2.04181356997938	0.0411700276713608	NA	12293.9887040757	0.0083175708975412	100	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	unidentified	unidentified
Otu2870	Bastida_F_2017_1	1.0218401827865	2.34491423972288	1.20220757359211	1.95050696005553	0.0511157246319031	NA	12293.9887040757	0.00831170588637144	100	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	unidentified	unidentified
Otu4967	Bastida_F_2017_1	1.40029876288145	2.32384879456205	1.07191790277837	2.16793542540779	0.0301636000436993	NA	12293.9887040757	0.0113901093988904	100	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	unculturedStellasp.	unidentified
Otu4156	Bastida_F_2017_1	0.681788623371877	2.31575549051371	1.36283949437915	1.69921366387218	0.0892789327803966	NA	12293.9887040757	0.00554570725403261	100	Bacteria	Acidobacteria	Holophagae	Subgroup7	unidentified	unidentified
Otu3088	Bastida_F_2017_1	3.2711331523191	2.30893383507388	0.739368095606024	3.12284753534213	0.00179110505122413	0.0362698772872886	12293.9887040757	0.0266075822180856	100	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter
Otu2493	Bastida_F_2017_1	0.664585458419559	2.29082952376834	1.36441967840279	1.67897719450221	0.0931564884440981	NA	12293.9887040757	0.00540577573655354	100	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	unculturedbacterium
