OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu1264	Bouskill_N_2013_2	2.54051928244744	2.70071644815115	1.07503031267472	2.51222353110365	0.0119973069053377	0.709218917262854	9407.91052549509	0.0270040757250266	100	Bacteria	Chloroflexi	unidentified	unidentified	unidentified	unidentified
Otu4672	Bouskill_N_2013_2	0.638987501336792	2.50083992472615	1.67033677729017	1.49720700563351	0.134339403057568	0.997487536696419	9407.91052549509	0.00679202358063631	100	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	unidentified
Otu4727	Bouskill_N_2013_2	0.596507969725317	2.40207490153563	1.6443074175372	1.46084295182065	0.144058545416679	0.997487536696419	9407.91052549509	0.00634049365274896	100	Bacteria	WPS-2	unidentified	unidentified	unidentified	unidentified
Otu3498	Bouskill_N_2013_2	0.88431279010479	2.28384098130633	1.19548356551448	1.91039094738495	0.0560828955505058	0.997487536696419	9407.91052549509	0.0093996726234623	100	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu3875	Bouskill_N_2013_2	0.517342848121977	2.22613898925687	1.64855289496645	1.35035945528589	0.176900709579011	0.997487536696419	9407.91052549509	0.00549901964649852	100	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu10489	Bouskill_N_2013_2	0.623187545591323	2.1159003826092	0.889642497306543	2.378371524534	0.0173892954611875	0.728987031280071	9407.91052549509	0.0066240802769383	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
Otu2847	Bouskill_N_2013_2	0.780791284881214	2.09597905931254	1.59861303363104	1.31112346466474	0.189816054390242	0.997487536696419	9407.91052549509	0.00829930602300371	100	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu12970	Bouskill_N_2013_2	2.45368106634651	1.97455014682159	0.847951050565519	2.32861336218018	0.0198795575426049	0.740787093414708	9407.91052549509	0.0260810416903639	100	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	unidentified
Otu4240	Bouskill_N_2013_2	0.405597120296926	1.84194775321663	1.04808913542381	1.75743425913084	0.0788438181557102	0.997487536696419	9407.91052549509	0.00431123488257858	100	Bacteria	unidentified	unidentified	unidentified	unidentified	unidentified
Otu5004	Bouskill_N_2013_2	0.389842482856623	1.818577525976	2.48236601391627	0.732598462829801	0.463803368932437	0.997487536696419	9407.91052549509	0.00414377328313407	100	Bacteria	Bacteroidetes	Ignavibacteria	OPB56	unculturedbacterium	unidentified
Otu3801	Bouskill_N_2013_2	0.52641760273574	1.81335286209347	1.69123150020188	1.07220854263713	0.283626374277508	0.997487536696419	9407.91052549509	0.00559547841477837	100	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	CPla-3termitegroup	metagenome
Otu5739	Bouskill_N_2013_2	0.494292595351797	1.80910968769871	1.05710128840422	1.71138726964349	0.0870096456676876	0.997487536696419	9407.91052549509	0.00525401037788659	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	KD3-10	Ambiguous_taxa
Otu13207	Bouskill_N_2013_2	1.2389684268887	1.79330031376768	0.813321685807804	2.20490901086271	0.0274604800760938	0.879752417252636	9407.91052549509	0.013169432506093	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	CandidatusKoribacter
Otu3379	Bouskill_N_2013_2	0.952432336385265	1.71082554811815	0.977692483928945	1.74986059138252	0.0801423722656334	0.997487536696419	9407.91052549509	0.0101237393128284	100	Bacteria	WPS-2	unidentified	unidentified	unidentified	unidentified
Otu1911	Bouskill_N_2013_2	2.4004576174542	1.70315245924047	1.21848796485187	1.39775895073984	0.162185465025655	0.997487536696419	9407.91052549509	0.0255153108753432	100	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu3710	Bouskill_N_2013_2	0.344379121640839	1.69376407307924	1.87212464327468	0.904728261103674	0.365609365228517	0.997487536696419	9407.91052549509	0.0036605271777148	100	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified	unidentified	unidentified
Otu6057	Bouskill_N_2013_2	0.576725803051508	1.63911896652971	1.37106270787914	1.19550984583719	0.231887891750609	0.997487536696419	9407.91052549509	0.00613022202420615	100	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	unidentified
Otu7091	Bouskill_N_2013_2	0.712456018382846	1.62776032192461	1.21324446218216	1.34165897530404	0.179706594581964	0.997487536696419	9407.91052549509	0.00757294636733754	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae(Subgroup1)	unidentified
Otu2048	Bouskill_N_2013_2	1.49849088745631	1.62691458186652	1.17294496117084	1.38703403460852	0.165431384934414	0.997487536696419	9407.91052549509	0.015927988296609	100	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu7459	Bouskill_N_2013_2	0.339119124267917	1.58256924077714	1.61597996301187	0.979324791767553	0.327419524525654	0.997487536696419	9407.91052549509	0.0036046168099592	100	Bacteria	Acidobacteria	Subgroup15	unculturedbacterium	unidentified	unidentified
Otu1153	Bouskill_N_2013_2	0.698937404582606	1.57774502916305	1.73667260956747	0.908487311005609	0.363620814803892	0.997487536696419	9407.91052549509	0.00742925225201188	100	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	unidentified
Otu4834	Bouskill_N_2013_2	0.576947113840142	1.5648093912584	1.37211067013682	1.14043963458309	0.254103188404993	0.997487536696419	9407.91052549509	0.00613257441465495	100	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
Otu8047	Bouskill_N_2013_2	0.528766260275948	1.56008881301337	1.08393127257577	1.43928757522245	0.150069061644407	0.997487536696419	9407.91052549509	0.00562044312435808	100	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	unidentified
Otu2214	Bouskill_N_2013_2	1.97908633928551	1.52697751843389	0.813702847198246	1.87657880722871	0.0605758442499613	0.997487536696419	9407.91052549509	0.0210364069037674	100	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured
Otu4732	Bouskill_N_2013_2	0.419627611550633	1.51764432034669	1.4554501178688	1.04273193681757	0.297072462144757	0.997487536696419	9407.91052549509	0.00446036992394281	100	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Thermincola
Otu5334	Bouskill_N_2013_2	0.924831375003488	1.51544051003176	1.11855980850359	1.35481401934075	0.175476818823973	0.997487536696419	9407.91052549509	0.00983035895693555	100	Bacteria	unidentified	unidentified	unidentified	unidentified	unidentified
Otu1224	Bouskill_N_2013_2	7.29757100914832	1.50022920923373	0.525741057139926	2.8535515513951	0.00432335127775374	0.555556943018877	9407.91052549509	0.0775684567723319	100	Bacteria	unidentified	unidentified	unidentified	unidentified	unidentified
Otu1827	Bouskill_N_2013_2	0.834423525768925	1.49747422830701	0.89720638689555	1.66904098118211	0.0951092583762866	0.997487536696419	9407.91052549509	0.00886938203236168	100	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unidentified	unidentified
Otu4849	Bouskill_N_2013_2	0.506232206807636	1.4656858487464	1.1498715314486	1.27465182732191	0.202432504543668	0.997487536696419	9407.91052549509	0.00538092072023608	100	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	unidentified
