OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu762	Fernamdes_V_2018_1	4.00892600593683	3.46874196513436	0.716915454564877	4.83842542805786	1.30871780349647e-06	8.08697346160579e-05	55311.3139131823	0.00724793125006815	100	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified	unidentified	unidentified
Otu1325	Fernamdes_V_2018_1	2.72541426291036	3.10401657821586	0.715423924875409	4.3387094983669	1.43321821763256e-05	0.000611506439523226	55311.3139131823	0.0049274082824867	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	unidentified
Otu7490	Fernamdes_V_2018_1	1.28117705351693	2.90975735196529	0.917013756913139	3.1730792804681	0.00150831330959072	0.0264989946155546	55311.3139131823	0.00231630196948112	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	unidentified	unidentified
Otu1011	Fernamdes_V_2018_1	2.49055649058415	2.85666600119991	0.822677440518877	3.47240104140715	0.000515825142421885	0.0117007424711395	55311.3139131823	0.00450279755511391	100	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	unculturedbacterium
Otu3502	Fernamdes_V_2018_1	1.22364018858517	2.85307210118958	0.780338204805484	3.65619943201522	0.000255982233994816	0.0063559599136488	55311.3139131823	0.00221227828813797	100	Bacteria	BRC1	unidentified	unidentified	unidentified	unidentified
Otu1863	Fernamdes_V_2018_1	2.41977547935495	2.68350853822699	0.904307289871371	2.96747418525034	0.00300257494953626	0.0410733916760991	55311.3139131823	0.00437482914102	100	Bacteria	Actinobacteria	0319-7L14	unidentified	unidentified	unidentified
Otu10552	Fernamdes_V_2018_1	8.54801745739914	2.64228283411504	0.774621226498381	3.41106432889697	0.000647098226131331	0.0133287358761764	55311.3139131823	0.0154543742548157	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Otu3294	Fernamdes_V_2018_1	0.957918163092198	2.46374386093579	0.823155054513881	2.99304954446374	0.00276204906993388	0.0399160639783993	55311.3139131823	0.00173186658446727	100	Bacteria	unidentified	unidentified	unidentified	unidentified	unidentified
Otu539	Fernamdes_V_2018_1	2.69316720356735	2.3101273462863	0.729272757944207	3.16771375472528	0.00153642715321286	0.0267308491122081	55311.3139131823	0.00486910726401221	100	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	FFCH9454	metagenome
Otu218	Fernamdes_V_2018_1	16.6546498135601	2.24991106777157	0.462499306967028	4.8646798684435	1.14642210428681e-06	7.33710146743557e-05	55311.3139131823	0.0301107470339641	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga
Otu4905	Fernamdes_V_2018_1	11.9246947880403	2.20792325005124	0.429602328617936	5.1394582919378	2.75531639762967e-07	2.35120332597732e-05	55311.3139131823	0.0215592325410268	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Otu13106	Fernamdes_V_2018_1	1.93829153901298	2.17825997831452	0.735489216116589	2.96164774490619	0.00305997644311607	0.0415414983792727	55311.3139131823	0.00350433103443422	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	unidentified
Otu1054	Fernamdes_V_2018_1	2.6598623853102	2.1515753306697	0.671446259725079	3.20438947943601	0.00135349243780912	0.0242545844855393	55311.3139131823	0.00480889387202982	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Cnuella
Otu1780	Fernamdes_V_2018_1	26.5776986458908	2.10679285077305	0.37756726427266	5.57991396534747	2.40637581152357e-08	3.31709650326942e-06	55311.3139131823	0.0480511070259651	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	unidentified
Otu2410	Fernamdes_V_2018_1	1.18257954817598	2.07847080192329	0.875386700709674	2.37434587507244	0.0175800739449172	0.154428884849469	55311.3139131823	0.00213804277011423	100	Bacteria	Chloroflexi	TK10	unculturedbacterium	unidentified	unidentified
Otu950	Fernamdes_V_2018_1	2.85982114248474	1.93863629324098	0.882391268915007	2.19702569770974	0.0280186109633441	0.197080288646879	55311.3139131823	0.00517040898173848	100	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	unidentified
Otu992	Fernamdes_V_2018_1	4.83845467950783	1.93028838439343	0.503661502373999	3.83251127055581	0.000126841786274649	0.00360794414292334	55311.3139131823	0.00874767626584022	100	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
Otu2215	Fernamdes_V_2018_1	1.04429535782679	1.91042703353456	0.972959373277568	1.96352189619078	0.049585562779603	0.264875190930121	55311.3139131823	0.00188803209315537	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured
Otu7687	Fernamdes_V_2018_1	2.16913000208998	1.858285492376	0.819242467590989	2.26829731842436	0.0233110912622127	0.174784416493243	55311.3139131823	0.00392167505818915	100	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter
Otu2165	Fernamdes_V_2018_1	1.52417059873067	1.85573683304973	0.781166428122907	2.37559726870105	0.0175205738993345	0.154428884849469	55311.3139131823	0.00275562175420934	100	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
Otu2266	Fernamdes_V_2018_1	2.20410153075876	1.84753762902722	0.773693939909277	2.38794377689435	0.0169429335283355	0.152571542124509	55311.3139131823	0.00398490177654858	100	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	metagenome
Otu8266	Fernamdes_V_2018_1	19.7513127638498	1.84300786897186	0.321208387581736	5.73773270009295	9.59523942878046e-09	1.71946690563746e-06	55311.3139131823	0.0357093537767912	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Otu2807	Fernamdes_V_2018_1	2.26199779017463	1.83421412821781	0.663073351917084	2.76623110084988	0.00567083314547456	0.0682022348771169	55311.3139131823	0.00408957522456455	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	unidentified	unidentified
Otu1607	Fernamdes_V_2018_1	2.9091704300343	1.82494475308699	0.887429168841916	2.05643990209215	0.0397401334869795	0.236770562481279	55311.3139131823	0.00525962994587435	100	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	unidentified
Otu2069	Fernamdes_V_2018_1	1.17732066174966	1.77705427259815	0.848079633394358	2.09538609656932	0.0361366844574095	0.225633932221874	55311.3139131823	0.00212853497495577	100	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	unidentified	unidentified
