OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu5627	Fernamdes_V_2018_2	5.3427061073394	4.68684057607698	1.14768714643094	4.08372664157827	4.4319162527187e-05	0.0027093781358287	59955.4397697654	0.00891112821097786	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Otu4342	Fernamdes_V_2018_2	1.61064703707563	3.22481047395629	0.859031021818972	3.75400933382808	0.000174028378764028	NA	59955.4397697654	0.00268640684358362	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Otu762	Fernamdes_V_2018_2	4.27987074786521	3.2180418638652	0.782578495532181	4.11210106364707	3.92074587156905e-05	0.0027093781358287	59955.4397697654	0.00713841940664654	100	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified	unidentified	unidentified
Otu1596	Fernamdes_V_2018_2	2.82904841142446	3.02005751359402	1.00501384114241	3.00499096625484	0.00265588737497736	0.0502154375846236	59955.4397697654	0.00471858503963656	100	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1
Otu6291	Fernamdes_V_2018_2	2.27106624673685	2.68268522456491	0.935508882575223	2.86762132838349	0.00413570197632981	0.0683322290503501	59955.4397697654	0.0037879235903497	100	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	unidentified
Otu569	Fernamdes_V_2018_2	7.13782272559156	2.66976740713253	1.04407632064837	2.5570615426606	0.0105560539993442	0.128210616124485	59955.4397697654	0.011905212859753	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	unidentified	unidentified
Otu7063	Fernamdes_V_2018_2	2.478029110569	2.64386216743026	0.858138003608829	3.08092889058836	0.00206355924354877	0.0411407246941284	59955.4397697654	0.00413311806248918	100	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Otu4905	Fernamdes_V_2018_2	6.11786470364451	2.58407979873628	0.631047626822903	4.09490455062194	4.22342348272244e-05	0.0027093781358287	59955.4397697654	0.0102040193969683	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Otu3225	Fernamdes_V_2018_2	1.43280310374393	2.54739134793553	1.02711976113995	2.48013079322737	0.0131334197641157	NA	59955.4397697654	0.00238977999201746	100	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Otu290	Fernamdes_V_2018_2	40.4745840798407	2.53627456895116	0.717426207273791	3.53524103696876	0.000407403351140732	0.0143688028075404	59955.4397697654	0.0675077761672118	100	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu11513	Fernamdes_V_2018_2	2.37256058128837	2.50099003308515	0.713461250351276	3.50543218970025	0.000455866610655131	0.0154825808137317	59955.4397697654	0.00395720653605283	100	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Otu310	Fernamdes_V_2018_2	25.8942952391863	2.49841228807709	0.458701713894165	5.44670362547095	5.13118546772063e-08	2.92441434412103e-05	59955.4397697654	0.0431892341022315	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Ambiguous_taxa
Otu1522	Fernamdes_V_2018_2	6.69717195633355	2.45586426697263	0.61433250990818	3.99761404022016	6.39841673230305e-05	0.00366709258970119	59955.4397697654	0.0111702490750653	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga
