"OTU"	"Bastida_F_2017_1"	"Bastida_F_2017_2"	"Bouskill_N_2013_1"	"Bouskill_N_2013_2"	"Fernamdes_V_2018_1"	"Fernamdes_V_2018_2"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu1"	NA	NA	3.84108018285183	NA	-2.06752213170719	0.0961660034164674	0.209035397810418	4	2.07875945237153	0.519689863092881	1
"Otu10"	-0.229855748363645	0.172560858441363	-0.66423972237977	NA	-0.328056119673036	-0.556521196510612	-0.0755651964009168	6	-1.68167712488662	-0.280279520814436	-1
"Otu100"	0.590264118735516	1.34901123591816	1.73324666840195	NA	0.366758024366342	0.459195150591617	-0.722003638287057	6	3.77647155972653	0.629411926621088	1
"Otu1000"	1.3881012696055	0.621831857648368	-1.4920488989242	NA	0.619101507423279	-0.650810733168035	NA	5	0.486175002584912	0.0972350005169824	1
"Otu1001"	-2.0939955973727	-0.461355680227325	NA	NA	NA	NA	0.672954396011779	3	-1.88239688158825	-0.627465627196082	-1
"Otu10016"	0.608389641468417	0.404270882920068	NA	NA	1.252911348035	0.75766435691037	NA	4	3.02323622933386	0.755809057333464	1
"Otu1003"	0.150410751620025	-0.312817939839849	-1.39852798833102	NA	NA	NA	-0.143279153702728	4	-1.70421433025357	-0.426053582563393	-1
"Otu1004"	NA	NA	NA	NA	0.0224866059002656	0.887720859279953	0.304914987532999	3	1.21512245271322	0.405040817571073	1
"Otu1005"	-1.30555960859721	0.749217991524608	NA	NA	-0.311977492574261	-0.260038631493051	0.239811173359482	5	-0.888546567780432	-0.177709313556086	-1
"Otu1006"	-0.295230866938327	NA	-1.59435820737373	-0.649717227095544	0.667386082483576	-0.790887228219264	-1.8107134138978	6	-4.47352086104109	-0.745586810173515	-1
"Otu1007"	0.213845387864169	0.617619681120911	NA	NA	-0.158145189076525	-0.69424875149086	-0.222192499748005	5	-0.24312137133031	-0.048624274266062	-1
"Otu1008"	NA	NA	NA	NA	-1.61337840852983	-0.219742273884061	-0.12658034470135	3	-1.95970102711524	-0.65323367570508	-1
"Otu1009"	NA	-0.320836075008054	NA	NA	0.042342353615118	-0.176792739362046	0.486733206891636	4	0.031446746136654	0.0078616865341635	1
"Otu101"	0.196460361353947	0.380777380857002	0.976697134328945	NA	-0.00660006861469898	-0.10611265101479	0.244625987160051	6	1.68584814407046	0.280974690678409	1
"Otu10109"	0.09048892013608	0.365146354142772	NA	NA	-2.46057832444117	-0.202771948202803	NA	4	-2.20771499836512	-0.55192874959128	-1
"Otu1011"	NA	NA	1.29302443616846	NA	2.85666600119991	0.342101994877132	-0.137908013687894	4	4.35388441855761	1.0884711046394	1
"Otu1012"	NA	NA	1.15000180136167	NA	0.334701417766113	1.51990725070428	0.563530886174833	4	3.5681413560069	0.892035339001724	1
"Otu1014"	0.765837667189507	-0.606104109831177	1.05661711012524	NA	0.41385761792611	-0.634834051901078	-0.97122727758347	6	0.0241469559251318	0.00402449265418864	1
"Otu1015"	NA	NA	NA	NA	0.0480926482462013	-0.425831536128623	-0.168177296163477	3	-0.545916184045899	-0.181972061348633	-1
"Otu1017"	-1.33074439246768	0.380558194799195	NA	NA	-0.465765473994914	0.565111420155354	-0.828424937023107	5	-1.67926518853115	-0.33585303770623	-1
