Perturbation	Phylum	Class	Order	Family	Genus	Num	Increase	Decrease	Increase2	Decrease2	pVal	Stat
drought	Actinobacteria	0319-7L14	-	-	-	17	12	5	70.5882352941177	29.4117647058824	0.143463134765625	-
drought	Actinobacteria	0319-7L14	unculturedactinobacterium	-	-	1	0	1	0	100	1	-
drought	Actinobacteria	0319-7L14	unculturedbacterium	-	-	6	5	1	83.3333333333333	16.6666666666667	0.21875	-
drought	Actinobacteria	0319-7L14	unidentified	-	-	10	7	3	70	30	0.34375	-
drought	Actinobacteria	0319-7L14	unculturedactinobacterium	unidentified	-	1	0	1	0	100	1	-
drought	Actinobacteria	0319-7L14	unculturedbacterium	unidentified	-	6	5	1	83.3333333333333	16.6666666666667	0.21875	-
drought	Actinobacteria	0319-7L14	unidentified	unidentified	-	10	7	3	70	30	0.34375	-
drought	Actinobacteria	0319-7L14	unculturedactinobacterium	unidentified	unidentified	1	0	1	0	100	1	-
drought	Actinobacteria	0319-7L14	unculturedbacterium	unidentified	unidentified	6	5	1	83.3333333333333	16.6666666666667	0.21875	-
drought	Actinobacteria	0319-7L14	unidentified	unidentified	unidentified	10	7	3	70	30	0.34375	-
drought	Actinobacteria	Acidimicrobiia	-	-	-	63	22	41	34.9206349206349	65.0793650793651	0.0225749726732573	Decrease
drought	Actinobacteria	Acidimicrobiia	Actinomarinales	-	-	1	1	0	100	0	1	-
drought	Actinobacteria	Acidimicrobiia	IMCC26256	-	-	8	3	5	37.5	62.5	0.7265625	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	-	-	26	3	23	11.5384615384615	88.4615384615385	8.79764556884767e-05	Decrease
drought	Actinobacteria	Acidimicrobiia	uncultured	-	-	13	9	4	69.2307692307692	30.7692307692308	0.266845703125	-
drought	Actinobacteria	Acidimicrobiia	unidentified	-	-	15	6	9	40	60	0.60723876953125	-
drought	Actinobacteria	Acidimicrobiia	Actinomarinales	uncultured	-	1	1	0	100	0	1	-
drought	Actinobacteria	Acidimicrobiia	IMCC26256	unculturedAcidimicrobialesbacterium	-	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	IMCC26256	unidentified	-	7	3	4	42.8571428571429	57.1428571428571	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	-	5	1	4	20	80	0.375	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	-	9	1	8	11.1111111111111	88.8888888888889	0.0390625	Decrease
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	-	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	-	7	1	6	14.2857142857143	85.7142857142857	0.125	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	unidentified	-	4	0	4	0	100	0.125	-
drought	Actinobacteria	Acidimicrobiia	uncultured	Ambiguous_taxa	-	2	1	1	50	50	1	-
drought	Actinobacteria	Acidimicrobiia	uncultured	unculturedAcidimicrobidaebacterium	-	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	uncultured	unculturedbacterium	-	3	3	0	100	0	0.25	-
drought	Actinobacteria	Acidimicrobiia	uncultured	unidentified	-	7	5	2	71.4285714285714	28.5714285714286	0.453125	-
drought	Actinobacteria	Acidimicrobiia	unidentified	unidentified	-	15	6	9	40	60	0.60723876953125	-
drought	Actinobacteria	Acidimicrobiia	Actinomarinales	uncultured	unidentified	1	1	0	100	0	1	-
drought	Actinobacteria	Acidimicrobiia	IMCC26256	unculturedAcidimicrobialesbacterium	unidentified	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	IMCC26256	unidentified	unidentified	7	3	4	42.8571428571429	57.1428571428571	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	5	1	4	20	80	0.375	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29marinegroup	3	0	3	0	100	0.25	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	5	1	4	20	80	0.375	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	unidentified	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	uncultured	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	Ambiguous_taxa	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	unculturedAcidimicrobidaebacterium	1	1	0	100	0	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	unculturedbacterium	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	unidentified	4	0	4	0	100	0.125	-
drought	Actinobacteria	Acidimicrobiia	Microtrichales	unidentified	unidentified	4	0	4	0	100	0.125	-
drought	Actinobacteria	Acidimicrobiia	uncultured	Ambiguous_taxa	unidentified	2	1	1	50	50	1	-
drought	Actinobacteria	Acidimicrobiia	uncultured	unculturedAcidimicrobidaebacterium	unidentified	1	0	1	0	100	1	-
drought	Actinobacteria	Acidimicrobiia	uncultured	unculturedbacterium	unidentified	3	3	0	100	0	0.25	-
drought	Actinobacteria	Acidimicrobiia	uncultured	unidentified	unidentified	7	5	2	71.4285714285714	28.5714285714286	0.453125	-
drought	Actinobacteria	Acidimicrobiia	unidentified	unidentified	unidentified	15	6	9	40	60	0.60723876953125	-
drought	Actinobacteria	Actinobacteria	-	-	-	120	60	60	50	50	1	-
drought	Actinobacteria	Actinobacteria	Corynebacteriales	-	-	2	0	2	0	100	0.5	-
drought	Actinobacteria	Actinobacteria	Frankiales	-	-	25	12	13	48	52	1	-
drought	Actinobacteria	Actinobacteria	Kineosporiales	-	-	5	2	3	40	60	1	-
drought	Actinobacteria	Actinobacteria	Micrococcales	-	-	12	9	3	75	25	0.14599609375	-
drought	Actinobacteria	Actinobacteria	Micromonosporales	-	-	16	6	10	37.5	62.5	0.454498291015625	-
drought	Actinobacteria	Actinobacteria	Propionibacteriales	-	-	24	16	8	66.6666666666667	33.3333333333333	0.151589632034302	-
drought	Actinobacteria	Actinobacteria	Pseudonocardiales	-	-	16	8	8	50	50	1	-
drought	Actinobacteria	Actinobacteria	Streptomycetales	-	-	5	2	3	40	60	1	-
drought	Actinobacteria	Actinobacteria	Streptosporangiales	-	-	4	2	2	50	50	1	-
drought	Actinobacteria	Actinobacteria	unidentified	-	-	11	3	8	27.2727272727273	72.7272727272727	0.2265625	-
drought	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	-	2	0	2	0	100	0.5	-
drought	Actinobacteria	Actinobacteria	Frankiales	Cryptosporangiaceae	-	1	1	0	100	0	1	-
drought	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	-	5	1	4	20	80	0.375	-
drought	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	-	9	6	3	66.6666666666667	33.3333333333333	0.5078125	-
drought	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	-	3	0	3	0	100	0.25	-
drought	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	-	3	1	2	33.3333333333333	66.6666666666667	1	-
