OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu633	Guo_A_2019	1.10493652804945	3.42836388915107	1.44093379802161	2.37926537212062	0.0173471825036523	0.978287291244043	3775.89141232194	0.0292629317793326	100	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
Otu555	Guo_A_2019	1.81744386282752	3.27777206181175	1.3095498452206	2.50297617442701	0.0123153834318006	0.978287291244043	3775.89141232194	0.0481328424036938	100	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	unidentified	unidentified
Otu729	Guo_A_2019	0.942034904457774	3.17749810590171	1.4995076518049	2.11902760354511	0.0340881342114659	0.978287291244043	3775.89141232194	0.0249486757321361	100	Bacteria	Proteobacteria	Deltaproteobacteria	MBNT15	unidentified	unidentified
Otu422	Guo_A_2019	1.44451861591688	2.97977458581685	1.33412791450047	2.23349991663472	0.0255159958161569	0.978287291244043	3775.89141232194	0.0382563601061978	100	Bacteria	Acidobacteria	Subgroup22	unidentified	unidentified	unidentified
Otu671	Guo_A_2019	1.46596554180143	2.95595898861384	1.35465712728564	2.18207170587643	0.0291042410206117	0.978287291244043	3775.89141232194	0.0388243564689788	100	Bacteria	Acidobacteria	Blastocatellia(Subgroup4)	Blastocatellales	Blastocatellaceae	uncultured
Otu1315	Guo_A_2019	0.777279613987807	2.87272075559456	1.62321044343639	1.76977715194643	0.0767642714966798	0.978287291244043	3775.89141232194	0.0205853275189879	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	unidentified
Otu535	Guo_A_2019	0.729143730981016	2.80823824766837	1.64488282205991	1.70725732557142	0.0877742341814298	0.978287291244043	3775.89141232194	0.0193105058212635	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter
Otu441	Guo_A_2019	1.32230690380755	2.75920730105239	1.36657972651986	2.01906061352089	0.0434809199138819	0.978287291244043	3775.89141232194	0.0350197280433554	100	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	unidentified
Otu596	Guo_A_2019	1.20919216728938	2.61498806463291	1.4073379257289	1.85810956759269	0.0631534564397503	0.978287291244043	3775.89141232194	0.0320240185759422	100	Bacteria	Chloroflexi	unidentified	unidentified	unidentified	unidentified
Otu776	Guo_A_2019	0.619755274227623	2.58058820266419	1.74482194674679	1.47899801895298	0.139140844278513	0.978287291244043	3775.89141232194	0.0164134824482813	100	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Hydrogenispora
Otu1192	Guo_A_2019	0.610124308424626	2.56402756985098	1.73583471625426	1.47711504202651	0.13964480208319	0.978287291244043	3775.89141232194	0.0161584177562309	100	Bacteria	Acidobacteria	Subgroup22	unculturedbacterium	unidentified	unidentified
Otu552	Guo_A_2019	1.11106673439751	2.5201856498742	1.51715335431381	1.66112782383429	0.0966877774294525	0.978287291244043	3775.89141232194	0.0294252830145418	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Otu803	Guo_A_2019	1.06165085078256	2.45533181707123	1.44179640074605	1.70296708730909	0.0885742278723562	0.978287291244043	3775.89141232194	0.0281165620207736	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	unidentified
Otu262	Guo_A_2019	3.22013122588151	2.45487100946057	0.955788987501709	2.56842361814321	0.010216222397797	0.978287291244043	3775.89141232194	0.0852813514544724	100	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	unidentified	unidentified
Otu1148	Guo_A_2019	0.548852788669832	2.37593716228133	1.82189763803544	1.30410024837801	0.192199404235779	0.978287291244043	3775.89141232194	0.0145357143184455	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Otu1266	Guo_A_2019	1.59707847881058	2.33834879285272	1.26956641872307	1.84184833370486	0.0654973378177578	0.978287291244043	3775.89141232194	0.0422967269026542	100	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfobacca
Otu623	Guo_A_2019	1.02704755809991	2.3282839903602	1.5399358484457	1.51193570349713	0.130550220106123	0.978287291244043	3775.89141232194	0.0272001349071725	100	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	unculturedbacterium
Otu400	Guo_A_2019	1.74083696036446	2.32560116421916	1.23547619583717	1.88235206154119	0.0597882301800681	0.978287291244043	3775.89141232194	0.0461039995663953	100	Bacteria	Chloroflexi	Anaerolineae	unidentified	unidentified	unidentified
Otu930	Guo_A_2019	0.519978837269035	2.32376446445092	1.84952205701945	1.25641349105926	0.208966092801657	0.978287291244043	3775.89141232194	0.0137710220048219	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
Otu513	Guo_A_2019	0.949706396292057	2.30551485248736	1.50950699629598	1.52732968985544	0.126679050266707	0.978287291244043	3775.89141232194	0.0251518460830961	100	Bacteria	Chloroflexi	unidentified	unidentified	unidentified	unidentified
Otu225	Guo_A_2019	0.953745057448903	2.24669422113444	1.49158996288915	1.50624117688664	0.132005272461159	0.978287291244043	3775.89141232194	0.0252588052277279	100	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	unidentified	unidentified
Otu250	Guo_A_2019	5.80258686090155	2.12948009986293	1.2617032297256	1.68778207877462	0.0914530689995708	0.978287291244043	3775.89141232194	0.153674622155867	100	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	uncultureddiatom	unidentified
Otu510	Guo_A_2019	0.829516691708003	2.06445786198306	1.56139824444195	1.32218533569628	0.186106442959256	0.978287291244043	3775.89141232194	0.0219687644883279	100	Bacteria	Bacteroidetes	Ignavibacteria	OPB56	unculturedbacterium	unidentified
Otu559	Guo_A_2019	1.33200040316711	2.05927610923478	1.30524024161837	1.57769891210333	0.11463479635078	0.978287291244043	3775.89141232194	0.0352764488623896	100	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
Otu548	Guo_A_2019	1.44862050957097	2.04325490922268	1.33370777545914	1.53201094484081	0.125519733932682	0.978287291244043	3775.89141232194	0.0383649938884274	100	Bacteria	Acidobacteria	Subgroup17	unidentified	unidentified	unidentified
Otu1176	Guo_A_2019	0.784423703615361	2.04191204200471	1.6468492248354	1.23989009510497	0.215016047944124	0.978287291244043	3775.89141232194	0.0207745302488185	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unidentified
Otu1205	Guo_A_2019	0.836579301770807	2.03255735027641	1.59829925835174	1.27170011476605	0.203479689820005	0.978287291244043	3775.89141232194	0.0221558093286471	100	Bacteria	TA06	Ambiguous_taxa	unidentified	unidentified	unidentified
Otu319	Guo_A_2019	1.33535567947333	2.01899273112729	1.31349232233297	1.53711803015433	0.12426440844789	0.978287291244043	3775.89141232194	0.0353653093708054	100	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured
Otu1370	Guo_A_2019	0.791011774504208	2.01149646348257	1.63412085905102	1.23093494115895	0.218347197935778	0.978287291244043	3775.89141232194	0.0209490074826539	100	Bacteria	Acidobacteria	Blastocatellia(Subgroup4)	11-24	unidentified	unidentified
Otu1308	Guo_A_2019	0.420202400310446	2.01121369206	2.01254604558097	0.999337976130335	0.317630994703556	0.978287291244043	3775.89141232194	0.0111285615613625	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	unidentified
Otu1406	Guo_A_2019	0.420202400310446	2.01121369206	2.01254604558097	0.999337976130335	0.317630994703556	0.978287291244043	3775.89141232194	0.0111285615613625	100	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Chromobacteriaceae	unidentified
Otu1491	Guo_A_2019	0.420202400310446	2.01121369206	2.01254604558097	0.999337976130335	0.317630994703556	0.978287291244043	3775.89141232194	0.0111285615613625	100	Bacteria	Bacteroidetes	Ignavibacteria	OPB56	unculturedbacterium	unidentified
Otu1686	Guo_A_2019	0.420202400310446	2.01121369206	2.01254604558097	0.999337976130335	0.317630994703556	0.978287291244043	3775.89141232194	0.0111285615613625	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Otu1171	Guo_A_2019	1.34231475382073	2.00468025321542	1.32859372807276	1.50887378952434	0.131331039114435	0.978287291244043	3775.89141232194	0.035549612190656	100	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Gallionellaceae	CandidatusNitrotoga
Otu315	Guo_A_2019	1.29870442914782	1.98764923281316	1.35252839334872	1.46958041146327	0.141675428766065	0.978287291244043	3775.89141232194	0.0343946445310831	100	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	unculturedAnaerolineaceaebacterium	unidentified
Otu336	Guo_A_2019	2.36400705661601	1.97367946262064	1.00709033068268	1.95978394637424	0.0500210483996613	0.978287291244043	3775.89141232194	0.0626079195207126	100	Bacteria	Proteobacteria	Deltaproteobacteria	Sva0485	unidentified	unidentified
Otu267	Guo_A_2019	3.24888522814689	1.96853079467062	0.887132024634135	2.21898290221511	0.0264878877584953	0.978287291244043	3775.89141232194	0.0860428670576899	100	Bacteria	Chloroflexi	Gitt-GS-136	Ambiguous_taxa	unidentified	unidentified
Otu913	Guo_A_2019	0.797119123354007	1.93843440709877	1.60529860497859	1.20752263852158	0.227230932034817	0.978287291244043	3775.89141232194	0.021110753364166	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unidentified
Otu1077	Guo_A_2019	1.29925077736275	1.9342151657222	1.36275112723053	1.41934585638762	0.155798209206791	0.978287291244043	3775.89141232194	0.0344091139147401	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Otu1559	Guo_A_2019	0.743078554308996	1.86502233136772	1.62716501811937	1.14617897422798	0.251721105808924	0.978287291244043	3775.89141232194	0.0196795530688222	100	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	unidentified
Otu659	Guo_A_2019	0.775307782016013	1.86495271158558	1.61105905130909	1.15759426078776	0.2470296524664	0.978287291244043	3775.89141232194	0.0205331058908616	100	Bacteria	Acidobacteria	Subgroup11	unculturedAcidobacteriabacterium	unidentified	unidentified
Otu562	Guo_A_2019	0.71352121805757	1.86218852300665	1.62947400598544	1.1428157283678	0.253115107098352	0.978287291244043	3775.89141232194	0.0188967621189826	100	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
Otu347	Guo_A_2019	0.77345411513772	1.86213302888661	1.59887577194866	1.16465147671673	0.244160097823148	0.978287291244043	3775.89141232194	0.0204840137249099	100	Bacteria	Chloroflexi	unidentified	unidentified	unidentified	unidentified
Otu1660	Guo_A_2019	0.703890252254574	1.84674064322196	1.63392500782836	1.13024810464003	0.258371695008696	0.978287291244043	3775.89141232194	0.0186416974269322	100	Bacteria	unidentified	unidentified	unidentified	unidentified	unidentified
Otu298	Guo_A_2019	1.3609931441361	1.84661224716783	1.31645469608916	1.40271613801344	0.160701503024702	0.978287291244043	3775.89141232194	0.0360442871766585	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae(Subgroup1)	uncultured
Otu875	Guo_A_2019	0.72196295582471	1.83008090383125	1.68733947921611	1.08459555790246	0.2781008233046	0.978287291244043	3775.89141232194	0.0191203315187697	100	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
Otu758	Guo_A_2019	0.694259286451577	1.82972282729131	1.70523728899386	1.07300188607235	0.283270269897639	0.978287291244043	3775.89141232194	0.0183866327348818	100	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Thioalkalispira
Otu439	Guo_A_2019	0.750484849775142	1.82454088040106	1.66976136659057	1.09269558926646	0.2745274770077	0.978287291244043	3775.89141232194	0.0198757000089057	100	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	unidentified	unidentified
Otu254	Guo_A_2019	2.2967911747647	1.80503651570885	1.02646126855456	1.75850426217315	0.0786617470034599	0.978287291244043	3775.89141232194	0.060827786712021	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Otu506	Guo_A_2019	0.675016300853776	1.80265779621822	1.70147234855197	1.05946934591818	0.289386082604393	0.978287291244043	3775.89141232194	0.0178770051133087	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	unidentified
Otu620	Guo_A_2019	1.77504553169961	1.79308275862733	1.17877617508072	1.52113929389906	0.128224885578142	0.978287291244043	3775.89141232194	0.0470099729538585	100	Bacteria	Rokubacteria	NC10	Methylomirabilales	Methylomirabilaceae	Sh765B-TzT-35
Otu492	Guo_A_2019	0.65390070236949	1.76344091025431	1.75186590726343	1.00660724256514	0.314123552635342	0.978287291244043	3775.89141232194	0.0173177835632562	100	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidetesvadinHA17	unidentified
Otu301	Guo_A_2019	1.11505821053042	1.76206406284695	1.37350549786048	1.28289552942579	0.199528679311528	0.978287291244043	3775.89141232194	0.0295309925198493	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
Otu600	Guo_A_2019	1.29386113552817	1.72346035783736	1.39853383112766	1.23233369081083	0.217824459531404	0.978287291244043	3775.89141232194	0.0342663756512143	100	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium
Otu304	Guo_A_2019	1.63340890123101	1.71081116617243	1.18238713851594	1.4469128684195	0.147921328533812	0.978287291244043	3775.89141232194	0.0432588949963093	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
