OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu90	Leff_W_2015_5	1.90512759127268	3.72768338223541	1.31776211698107	2.82879841072935	0.00467231194289863	0.301492576704256	24579.4373109531	0.00775089993790749	100	Bacteria	Acidobacteria	Blastocatellia(Subgroup4)	Blastocatellales	Blastocatellaceae	unidentified
Otu1119	Leff_W_2015_5	2.10298953810409	3.31668956948363	1.35987830976638	2.43896056409152	0.0147295755846994	0.380002337298605	24579.4373109531	0.00855588967110714	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera
Otu3587	Leff_W_2015_5	1.78050721211035	3.14809509394562	1.38651586894636	2.27050779904735	0.023176790637809	0.449817432895936	24579.4373109531	0.00724388922978686	100	Bacteria	Chloroflexi	Anaerolineae	SBR1031	unidentified	unidentified
Otu2011	Leff_W_2015_5	1.79205125236177	3.145808856309	1.30175060506366	2.41659872795308	0.0156662770737601	0.396793411130481	24579.4373109531	0.0072908554809072	100	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae(Subgroup3)	unidentified
Otu1137	Leff_W_2015_5	1.24147707668106	3.07341910227447	1.46601555357313	2.09644372106667	0.0360428474057581	0.537372702536076	24579.4373109531	0.00505087671851556	100	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	unculturedalphaproteobacterium
Otu3775	Leff_W_2015_5	1.80575915588666	3.06680068116004	1.36153557895593	2.2524572464803	0.0242933915806564	0.449817432895936	24579.4373109531	0.00734662528292286	100	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured
Otu3120	Leff_W_2015_5	2.4254358718004	3.01205427029198	1.15838602720496	2.60021633510176	0.00931650075391725	0.351073016214687	24579.4373109531	0.00986774367987494	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Otu11258	Leff_W_2015_5	1.71981114689729	2.94603709368168	1.44769056489223	2.0349908779719	0.0418517908477677	0.548268971380895	24579.4373109531	0.00699695084610789	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unidentified	unidentified
Otu4720	Leff_W_2015_5	2.21556845561193	2.93268356154715	1.29836117926431	2.25875789293769	0.023898449084878	0.449817432895936	24579.4373109531	0.00901391039828492	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	CandidatusXiphinematobacter
Otu2915	Leff_W_2015_5	5.98068203527467	2.93090049382736	0.786863307756644	3.72478989036024	0.000195477964982685	0.0377516819872809	24579.4373109531	0.0243320543087028	100	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	unidentified	unidentified
Otu257	Leff_W_2015_5	10.3102407565622	2.91263976006572	0.629551393651232	4.62653214564926	3.71839177429901e-06	0.00191497176376399	24579.4373109531	0.0419466101934226	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
Otu6569	Leff_W_2015_5	2.67038605148404	2.85073366129408	1.15989967949557	2.45774157169683	0.0139813743470205	0.380002337298605	24579.4373109531	0.0108643091284033	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured
Otu378	Leff_W_2015_5	2.03750400465827	2.84214897183428	1.15911163252061	2.45200625383573	0.0142062192906982	0.380002337298605	24579.4373109531	0.00828946561665314	100	Bacteria	WPS-2	Ambiguous_taxa	unidentified	unidentified	unidentified
Otu3258	Leff_W_2015_5	2.02095765938533	2.8226503236784	1.24147970669663	2.27361777115874	0.0229889780273723	0.449817432895936	24579.4373109531	0.00822214778075796	100	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	unidentified	unidentified
Otu486	Leff_W_2015_5	2.67028516169488	2.81284089134609	1.28465702669452	2.18956564506844	0.0285557528507546	0.484506918030162	24579.4373109531	0.0108638986642096	100	Bacteria	Firmicutes	Bacilli	Bacillales	unidentified	unidentified
Otu861	Leff_W_2015_5	1.04546290459716	2.78083737413909	1.53873501273434	1.80722304433531	0.0707275092619499	0.636843657851178	24579.4373109531	0.0042534045485707	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae(Subgroup1)	Ambiguous_taxa
Otu1110	Leff_W_2015_5	3.08621843559806	2.74413201528722	0.999209042645802	2.7463042248107	0.00602708456990877	0.315467125869179	24579.4373109531	0.0125560988095638	100	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	unidentified
Otu1105	Leff_W_2015_5	2.32622881279512	2.71238692700747	1.14635494229513	2.36609694513723	0.0179767364237131	0.408099713789507	24579.4373109531	0.00946412557523644	100	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Otu118	Leff_W_2015_5	2.74404683697574	2.65592836270737	1.05299801227167	2.52225391857829	0.0116605504008073	0.380002337298605	24579.4373109531	0.0111639937166216	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	KF-JG30-B3	unculturedbacterium
