"OTU"	"Leff_W_2015_1"	"Leff_W_2015_2"	"Leff_W_2015_3"	"Leff_W_2015_4"	"Leff_W_2015_5"	"Leff_W_2015_6"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu1"	-0.683390759696388	1.92109814880264	-0.145184179710332	-0.286905971763323	-0.691882610712684	-0.366959326549678	6	-0.253224699629765	-0.0422041166049608	-1
"Otu10"	0.0993739066935327	-0.265037689132137	-0.216527506692489	1.09959702571085	1.35169499236581	NA	5	2.06910072894557	0.413820145789113	1
"Otu1005"	NA	-0.450267811193292	-1.47413822407631	NA	NA	0.834864933065613	3	-1.08954110220399	-0.36318036740133	-1
"Otu1009"	NA	-0.355412489170303	NA	-1.94005740699921	-0.24405523323189	NA	3	-2.5395251294014	-0.846508376467134	-1
"Otu101"	NA	0.353936165032941	NA	-1.28394810998818	-0.948152117727658	-0.0467036055702673	4	-1.92486766825316	-0.481216917063291	-1
"Otu1010"	NA	NA	1.2197297931425	-1.45678215616361	-1.36387574049285	NA	3	-1.60092810351396	-0.53364270117132	-1
"Otu1011"	-1.10528520717289	-0.000930304656107096	-0.468070145507476	-0.74012076107433	2.46836578470565	-0.21485949075725	6	-0.060900124462403	-0.0101500207437338	-1
"Otu1015"	NA	0.119496699989396	NA	-0.264625270964465	-0.271423636106778	-0.433651633217357	4	-0.850203840299204	-0.212550960074801	-1
"Otu10158"	0.409063060703995	NA	1.59868525327078	NA	NA	-2.12555032825931	3	-0.117802014284535	-0.039267338094845	-1
"Otu1016"	0.949158016070032	NA	-0.256746223961142	0.530063867220021	NA	-0.429267764242824	4	0.793207895086087	0.198301973771522	1
"Otu102"	-0.557938613244751	NA	0.369773018880897	NA	-0.235575881737958	0.370155197394427	4	-0.0535862787073851	-0.0133965696768463	-1
"Otu1020"	-1.28060329389489	NA	0.0142276137854673	-0.852446819022504	0.280835055809768	0.19195446622768	5	-1.64603297709448	-0.329206595418896	-1
"Otu1024"	0.428396924256879	NA	NA	1.91186448561085	0.482408687964835	-0.731994412403109	4	2.09067568542946	0.522668921357364	1
"Otu1029"	-0.642952408283758	0.489273722763388	NA	0.429533318059215	-0.934688239068423	NA	4	-0.658833606529578	-0.164708401632395	-1
"Otu103"	-0.244438050832237	1.63540543408341	-0.520210819236507	-0.189129103364321	NA	-0.406549887299923	5	0.275077573350422	0.0550155146700844	1
"Otu1035"	-0.498383383797552	NA	-0.290165700543676	-1.16707494925814	1.05725905406165	-0.684851998156535	5	-1.58321697769425	-0.316643395538851	-1
"Otu1037"	NA	NA	-1.73150676335841	-0.871933665385183	1.51990275982797	NA	3	-1.08353766891562	-0.361179222971874	-1
"Otu104"	0.0683517576650055	-3.48805905559921	1.16949018548801	-0.207339567281735	0.242197994762937	-0.0870156624133065	6	-2.3023743473783	-0.383729057896383	-1
"Otu1040"	0.236097056098902	-0.0955687917092287	1.42241636607595	-0.527743484460591	NA	0.337788175302762	5	1.37298932130779	0.274597864261559	1
"Otu1045"	-1.82529778458364	0.73530694303354	NA	0.905745042356846	2.41147287211297	NA	4	2.22722707291972	0.556806768229929	1
"Otu10470"	NA	NA	0.700930152739937	0.123923225720026	2.21504452631924	NA	3	3.0398979047792	1.01329930159307	1
"Otu1048"	-0.62017655183806	0.386742834736314	NA	-0.226722116474728	-1.15295694828582	-0.605804984622044	5	-2.21891776648434	-0.443783553296868	-1
"Otu1058"	NA	-1.50862675780978	NA	-1.57774289029451	-1.3051916147153	0.738611088282826	4	-3.65295017453676	-0.913237543634191	-1
"Otu106"	-0.0435387070515567	0.31446475297218	0.651136978764933	-0.130081253658765	-0.120323875852657	0.317960440021582	6	0.989618335195716	0.164936389199286	1
"Otu10607"	-1.72114627941595	NA	NA	-2.92469360071048	1.02241419028568	NA	3	-3.62342568984075	-1.20780856328025	-1
"Otu1064"	-0.033320907159368	0.930363794030448	NA	NA	NA	1.71442634160851	3	2.61146922847959	0.87048974282653	1
"Otu1066"	-0.0813983905295181	NA	NA	NA	-1.32666651156598	-0.721919975594085	3	-2.12998487768958	-0.709994959229861	-1
"Otu1068"	NA	0.612138314345716	NA	NA	-0.316165611124965	-0.608038113298942	3	-0.312065410078191	-0.104021803359397	-1
"Otu107"	-0.273968970698267	NA	0.525197799296651	-0.287188080128366	0.685658273125447	0.0159304495151661	5	0.665629471110631	0.133125894222126	1
"Otu1071"	NA	3.81180449858383	NA	-0.518708940747598	-3.09968032856575	NA	3	0.193415229270482	0.0644717430901608	1
"Otu1072"	NA	-0.424729321821519	-0.547389341476663	1.72991513935387	NA	0.154657057542683	4	0.912453533598371	0.228113383399593	1
"Otu1074"	-0.869168151161153	1.03775777555421	NA	NA	NA	-0.737478212188538	3	-0.568888587795481	-0.18962952926516	-1
"Otu10780"	NA	-0.116676747403005	NA	NA	-0.892239837479801	-0.28331417501806	3	-1.29223075990087	-0.430743586633622	-1
"Otu1079"	-0.0853449017093855	-1.1799056593788	-1.02177266249296	0.915606854952291	NA	1.95555025134572	5	0.584133882716866	0.116826776543373	1
"Otu10807"	0.0735517784093047	NA	NA	-0.219636992470395	2.25595280727644	2.06164397032248	4	4.17151156353783	1.04287789088446	1
"Otu1089"	0.212796761623218	NA	0.514610644587308	NA	NA	-2.78434534896946	3	-2.05693794275893	-0.685645980919645	-1
"Otu109"	NA	-1.12112554667741	NA	0.59061810303514	-0.698029770783329	-2.62653543143789	4	-3.85507264586349	-0.963768161465872	-1
"Otu1094"	-0.709356720223213	NA	0.720379344759261	NA	NA	-1.38205962740987	3	-1.37103700287382	-0.457012334291274	-1
"Otu1095"	-0.400954576377049	NA	0.657357479377063	NA	-1.32211395384685	NA	3	-1.06571105084684	-0.355237016948945	-1
"Otu10952"	NA	0.374465121890113	NA	NA	0.30265293894026	0.413001299617289	3	1.09011936044766	0.363373120149221	1
"Otu10954"	NA	-4.01164445706878	0.903138721266924	NA	NA	0.00603756781999667	3	-3.10246816798186	-1.03415605599395	-1
"Otu1097"	-0.830137200393014	NA	0.360190445852068	NA	NA	0.928861084713746	3	0.4589143301728	0.152971443390933	1
"Otu1098"	-0.505997486968367	NA	-1.75923045487793	NA	0.331388109590083	NA	3	-1.93383983225621	-0.644613277418738	-1
"Otu11"	0.368637371289323	0.397265161872624	0.166823830754307	0.233151530335563	0.182907448376883	0.693733637741083	6	2.04251898036978	0.340419830061631	1
"Otu110"	0.251098068854033	NA	-0.448331881597141	-0.356184099367126	0.266929291743826	NA	4	-0.286488620366408	-0.071622155091602	-1
"Otu1100"	1.73814922440463	NA	NA	NA	2.07138204090883	-0.156431387590317	3	3.65309987772314	1.21769995924105	1
"Otu11025"	-0.139427632572103	NA	NA	0.646356170133889	-0.705785581954407	0.531619680450874	4	0.332762636058253	0.0831906590145633	1
"Otu1103"	NA	0.566355159660538	NA	NA	-1.56659166800023	1.08223089141556	3	0.0819943830758679	0.0273314610252893	1
"Otu1109"	-0.0853646241989206	NA	NA	NA	1.68936839976412	-0.949216445152768	3	0.654787330412431	0.21826244347081	1
"Otu111"	-0.438601839053802	NA	-0.729035424491504	0.116049542309286	0.0264195312046603	0.441574827147726	5	-0.583593362883634	-0.116718672576727	-1
