Perturbation	Phylum	Class	Order	Family	Genus	Num	Increase	Decrease	Increase2	Decrease2	pVal	Stat
phosphorous	Proteobacteria	Alphaproteobacteria	-	-	-	136	67	69	49.2647058823529	50.7352941176471	0.931707615150997	-
phosphorous	Proteobacteria	Alphaproteobacteria	Acetobacterales	-	-	14	4	10	28.5714285714286	71.4285714285714	0.1795654296875	-
phosphorous	Proteobacteria	Alphaproteobacteria	Azospirillales	-	-	3	1	2	33.3333333333333	66.6666666666667	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Caulobacterales	-	-	11	5	6	45.4545454545455	54.5454545454545	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Elsterales	-	-	20	8	12	40	60	0.50344467163086	-
phosphorous	Proteobacteria	Alphaproteobacteria	Holosporales	-	-	1	1	0	100	0	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Micropepsales	-	-	15	9	6	60	40	0.60723876953125	-
phosphorous	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	-	-	1	0	1	0	100	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Reyranellales	-	-	5	2	3	40	60	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	-	-	50	28	22	56	44	0.479887661698328	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhodospirillales	-	-	5	2	3	40	60	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Sphingomonadales	-	-	8	6	2	75	25	0.2890625	-
phosphorous	Proteobacteria	Alphaproteobacteria	unidentified	-	-	3	1	2	33.3333333333333	66.6666666666667	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	-	14	4	10	28.5714285714286	71.4285714285714	0.1795654296875	-
phosphorous	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	-	1	0	1	0	100	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	-	2	1	1	50	50	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	-	10	5	5	50	50	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	-	1	0	1	0	100	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae	-	2	0	2	0	100	0.5	-
phosphorous	Proteobacteria	Alphaproteobacteria	Elsterales	uncultured	-	17	8	9	47.0588235294118	52.9411764705882	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Elsterales	URHD0088	-	1	0	1	0	100	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	-	1	1	0	100	0	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	-	15	9	6	60	40	0.60723876953125	-
phosphorous	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	-	1	0	1	0	100	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	-	5	2	3	40	60	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	-	1	1	0	100	0	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	-	8	1	7	12.5	87.5	0.0703125	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	-	1	1	0	100	0	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	-	3	1	2	33.3333333333333	66.6666666666667	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	KF-JG30-B3	-	2	2	0	100	0	0.5	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Labraceae	-	1	1	0	100	0	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	-	1	1	0	100	0	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	-	4	3	1	75	25	0.625	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	RhizobialesIncertaeSedis	-	5	3	2	60	40	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	-	2	2	0	100	0	0.5	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	uncultured	-	1	1	0	100	0	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	unidentified	-	3	2	1	66.6666666666667	33.3333333333333	1	-
phosphorous	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	-	18	9	9	50	50	1	-
