OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu1629	Che_R_2018	2.31934950184611	3.4846744092344	0.977547154343494	3.56471234533402	0.000364255453336687	NA	18387.3056360523	0.0126138627798655	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	OLB12
Otu2433	Che_R_2018	1.28090229855782	3.43241171945911	0.968048251876422	3.54570313288194	0.000391567062549027	NA	18387.3056360523	0.00696623161604676	100	Bacteria	BRC1	unidentified	unidentified	unidentified	unidentified
Otu2133	Che_R_2018	3.26354028423453	3.39512079810953	1.08018130914085	3.14310270820176	0.00167167172559847	NA	18387.3056360523	0.0177488771265957	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	unidentified
Otu2194	Che_R_2018	2.57754097117819	3.32259003163174	1.0486897939941	3.16832494285763	0.00153320051655752	NA	18387.3056360523	0.0140180460487064	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured
Otu2432	Che_R_2018	1.98043947411262	3.3018007789928	0.948590263848927	3.48074495894115	0.000500021364691249	NA	18387.3056360523	0.0107706888290883	100	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	KD3-93	unidentified
Otu4188	Che_R_2018	1.03107589103489	3.05922560806664	0.969926673435003	3.15407926377812	0.00161005349596437	NA	18387.3056360523	0.00560754202624035	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga
Otu1550	Che_R_2018	4.53417738220596	3.05467696142647	1.60808542376706	1.89957381385291	0.0574890713833952	0.22334504232449	18387.3056360523	0.0246592810929064	100	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	Ambiguous_taxa
Otu6064	Che_R_2018	7.70237397988241	3.0119814431319	0.736914113359208	4.08728966989361	4.36442049138497e-05	0.00376794969089569	18387.3056360523	0.041889628270388	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
Otu2968	Che_R_2018	1.67814386824025	2.97505495893606	1.12618857867077	2.64170230037982	0.00824905271257408	NA	18387.3056360523	0.00912664368263876	100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	Ambiguous_taxa
Otu3982	Che_R_2018	1.21090044901414	2.94881706162807	0.994903908428331	2.96392147688551	0.00303745783934532	NA	18387.3056360523	0.00658552412725387	100	Bacteria	Planctomycetes	Pla4lineage	Ambiguous_taxa	unidentified	unidentified
