OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu268	DeAngelis_M_2015_1	28.7506016656592	8.53723001536263	2.09985841070449	4.06562174470537	4.79045787659652e-05	0.00584105393784282	14218.7719324896	0.20220172179543	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	unidentified	unidentified
Otu660	DeAngelis_M_2015_1	10.1647078140241	6.29675033901693	2.38315729345207	2.64218830889501	NA	NA	14218.7719324896	0.0714879446852791	100	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured
Otu2219	DeAngelis_M_2015_1	16.1503502561534	6.21760664159321	1.5823570189026	3.92933236135625	8.51820365935412e-05	0.00584105393784282	14218.7719324896	0.113584705717448	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unidentified	unidentified
Otu83	DeAngelis_M_2015_1	9.30733717452565	6.16596050128962	2.64377942507307	2.3322522457104	NA	NA	14218.7719324896	0.065458094543725	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella
Otu716	DeAngelis_M_2015_1	5.16769860869347	6.06328977938548	1.88680879936827	3.21351574224985	0.00131120610034958	0.0524482440139831	14218.7719324896	0.0363441978901525	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured	unidentified
Otu6058	DeAngelis_M_2015_1	12.9794240625968	5.8848006403798	1.78182923969913	3.30267374070787	0.000957677408725272	0.0459685156188131	14218.7719324896	0.0912837207335685	100	Bacteria	Acidobacteria	Acidobacteriia	Subgroup2	Ambiguous_taxa	unidentified
Otu651	DeAngelis_M_2015_1	26.1599597780498	5.87893455851504	1.4880212411698	3.95084048255476	7.78772199352046e-05	0.00584105393784282	14218.7719324896	0.183981850909887	100	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae(Subgroup1)	uncultured
Otu898	DeAngelis_M_2015_1	7.61798171111704	5.87881368377175	2.38102544358584	2.46902598189721	NA	NA	14218.7719324896	0.0535769315893599	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	unidentified
Otu1516	DeAngelis_M_2015_1	43.6932439986786	5.86178042570382	1.42726749966026	4.10699495861787	4.00839974768051e-05	0.00584105393784282	14218.7719324896	0.307292670605684	100	Bacteria	Acidobacteria	Acidobacteriia	Subgroup2	unidentified	unidentified
Otu2081	DeAngelis_M_2015_1	4.107106583924	5.72339417271387	2.44690658599239	2.33903255869191	0.0193337485097246	0.237953827811995	14218.7719324896	0.0288851006502141	100	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae(Subgroup3)	CandidatusSolibacter
