OTU	SiteID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseSum	proportionMean	proportionSum	Kingdom	Phylum	Class	Order	Family	Genus
Otu5315	Zhang_K_2016	1.37987801834075	2.93395638353837	1.32208697468425	2.21918560557567	0.0264740999491165	0.995989419664815	3065.12701140686	0.0450186244552197	100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	unidentified
Otu2483	Zhang_K_2016	0.541750261981018	2.82460926744562	1.98443276947511	1.42338370485221	0.15462495364929	0.995989419664815	3065.12701140686	0.017674643170247	100	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9marinegroup	unculturedBacteroidetesbacterium
Otu1061	Zhang_K_2016	0.67728787276546	2.71608880744842	1.50933312011641	1.79952905773309	0.0719350316832155	0.995989419664815	3065.12701140686	0.0220965679479165	100	Bacteria	Acidobacteria	Subgroup17	unculturedbacterium	unidentified	unidentified
Otu334	Zhang_K_2016	0.512921815623984	2.70918680219353	2.29398492085537	1.18099590697542	0.237604349290659	0.995989419664815	3065.12701140686	0.0167341129328457	100	Bacteria	Acidobacteria	Subgroup17	unculturedbacterium	unidentified	unidentified
Otu431	Zhang_K_2016	0.503551142360138	2.68657720253428	2.30286536137091	1.16662365399206	0.243362386592232	0.995989419664815	3065.12701140686	0.016428394010629	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured
Otu1509	Zhang_K_2016	0.800693084730502	2.68533875232503	1.38967945890363	1.93234399135725	0.0533170620767637	0.995989419664815	3065.12701140686	0.0261226722987571	100	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Otu1569	Zhang_K_2016	1.08757985017295	2.59654221595432	1.28330522141114	2.02332397050417	0.0430397571014719	0.995989419664815	3065.12701140686	0.0354823746658957	100	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	unidentified	unidentified
Otu2053	Zhang_K_2016	0.447508832436901	2.55096860953213	2.06599509119891	1.23474088607432	0.216926954065961	0.995989419664815	3065.12701140686	0.014600009421192	100	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu833	Zhang_K_2016	1.68729446932794	2.48668400206227	0.971913247412855	2.5585452288891	0.0105111145937229	0.995989419664815	3065.12701140686	0.0550481093621465	100	Bacteria	Proteobacteria	Gammaproteobacteria	JG36-GS-52	unculturedbacterium	unidentified
Otu1346	Zhang_K_2016	0.409982265821598	2.38200329974499	2.12204541150225	1.12250345201553	0.261648440636497	0.995989419664815	3065.12701140686	0.0133757023541227	100	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia
Otu2247	Zhang_K_2016	0.394608902844985	2.33356952568108	1.90279064905522	1.22639320665138	0.220050741227713	0.995989419664815	3065.12701140686	0.0128741452271455	100	Bacteria	Acidobacteria	Subgroup25	unidentified	unidentified	unidentified
Otu2390	Zhang_K_2016	0.387009604765786	2.31437981834561	2.48887099842981	0.929891432623754	0.352427299291736	0.995989419664815	3065.12701140686	0.0126262175539719	100	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101soilgroup	unculturedbacterium
Otu758	Zhang_K_2016	1.21480265246058	2.23628291486813	1.34565776514815	1.66185115769159	0.0965426218826503	0.995989419664815	3065.12701140686	0.039633028189034	100	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
Otu2142	Zhang_K_2016	0.628684000229164	2.18375639811783	1.60225843805735	1.36292394925098	0.172906479983729	0.995989419664815	3065.12701140686	0.0205108629394318	100	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	unidentified
