"OTU"	"Che_R_2018"	"DeAngelis_M_2015_1"	"DeAngelis_M_2015_2"	"DeAngelis_M_2015_3"	"Waghmode_R_2018"	"Zhang_K_2016"	"Freq"	"Sum_log2FoldChange"	"Mean_log2FoldChange"	"Binary_log2FoldChange"
"Otu1"	-0.999334308478346	NA	NA	NA	-0.653691701430654	-0.0989269885283144	3	-1.75195299843731	-0.583984332812438	-1
"Otu10"	-0.116349490115283	1.58481942486595	0.769139128972221	0.699298104892956	-0.142695996104518	0.33541767212536	6	3.12962884463669	0.521604807439448	1
"Otu100"	-0.301753834298172	NA	NA	NA	-0.219175226683221	0.110729143199476	3	-0.410199917781917	-0.136733305927306	-1
"Otu1000"	-0.278313812148228	NA	NA	NA	0.260239850795028	-1.83615316628176	3	-1.85422712763496	-0.618075709211653	-1
"Otu1003"	NA	-1.42741120790507	-1.95483421240329	1.9940495240066	NA	NA	3	-1.38819589630176	-0.46273196543392	-1
"Otu1008"	0.565502581934649	NA	NA	NA	0.405962913286801	0.316364079992128	3	1.28782957521358	0.429276525071193	1
"Otu101"	-0.0549189119817308	NA	NA	NA	-0.492233466162938	-0.223361662181744	3	-0.770514040326413	-0.256838013442138	-1
"Otu1010"	1.04847823939787	NA	NA	NA	-0.182370433476168	0.640790269298026	3	1.50689807521973	0.502299358406576	1
"Otu1011"	-0.49605473650212	NA	NA	NA	-0.509224426617704	0.131213854576276	3	-0.874065308543548	-0.291355102847849	-1
"Otu1012"	0.0230500940955674	NA	NA	NA	0.129189017513589	-1.08879774142123	3	-0.936558629812074	-0.312186209937358	-1
"Otu1022"	NA	-0.630910611706211	2.54958816311023	NA	0.111069722423811	NA	3	2.02974727382783	0.676582424609277	1
"Otu1026"	-0.256805216667393	NA	NA	NA	0.115800814492431	-0.936870830251224	3	-1.07787523242619	-0.359291744142062	-1
"Otu1027"	-0.419495082746753	NA	NA	NA	-0.286106215338278	-1.23976897015968	3	-1.94537026824471	-0.64845675608157	-1
"Otu103"	0.126839045052455	0.792112570944818	0.402970064575122	-1.42944680271315	0.599239587033173	-0.109864624739939	6	0.381849840152479	0.0636416400254132	1
"Otu1030"	-0.549119988202145	NA	NA	NA	-0.650256391927803	0.806923864697961	3	-0.392452515431987	-0.130817505143996	-1
"Otu104"	-0.468450295046254	NA	2.82593182401802	NA	0.735683580305205	-0.0732117372877141	4	3.01995337198926	0.754988342997314	1
"Otu1042"	0.710704049124406	-0.702759122727919	2.31817662479112	2.04739667655586	0.0735466810576782	NA	5	4.44706490880115	0.889412981760229	1
"Otu1043"	-1.85872924220676	NA	NA	NA	0.522719077867831	1.42992216165416	3	0.0939119973152309	0.031303999105077	1
"Otu1048"	NA	-0.389870904086993	0.169956545759138	1.23997025532845	-0.161755589176842	-0.689210842918348	5	0.169089464905405	0.033817892981081	1
"Otu105"	NA	-4.2959280628495	0.840078530525251	1.47278920605316	NA	NA	3	-1.98306032627109	-0.66102010875703	-1
"Otu1050"	0.572106701229989	1.40162735280896	0.223518841243024	-2.17721525433309	0.783333383189952	NA	5	0.803371024138835	0.160674204827767	1
"Otu1051"	-0.0447136340403414	NA	NA	NA	-0.62060914228765	-0.382550852844272	3	-1.04787362917226	-0.349291209724088	-1
"Otu1053"	NA	1.01155885815063	3.41749273376501	0.290199749671242	NA	NA	3	4.71925134158688	1.57308378052896	1
"Otu1054"	-1.42677899618541	NA	NA	NA	0.217190490370034	-0.382550765818642	3	-1.59213927163402	-0.530713090544673	-1
"Otu1055"	NA	-1.09488435139515	-0.829493649028327	-3.61293680120068	NA	NA	3	-5.53731480162416	-1.84577160054139	-1
"Otu106"	NA	-0.956855828530111	-0.458623148948417	-0.241867586253892	NA	NA	3	-1.65734656373242	-0.552448854577473	-1
"Otu1060"	0.13053542445363	3.22137400940811	0.881582980042749	-4.22571634598256	NA	1.53476368618267	5	1.5425397541046	0.30850795082092	1
"Otu1062"	-1.36382328527018	NA	NA	NA	1.11010606503868	-0.943948855034861	3	-1.19766607526636	-0.399222025088787	-1
"Otu1063"	NA	0.217891475460506	0.406902498235448	-1.19612167834118	NA	NA	3	-0.571327704645226	-0.190442568215075	-1
"Otu1065"	NA	-1.10228887829779	1.59380991945307	1.94987615243486	NA	NA	3	2.44139719359014	0.813799064530047	1
"Otu1066"	0.153983407086229	NA	NA	NA	-0.287470107412638	0.648786252433437	3	0.515299552107028	0.171766517369009	1
"Otu1067"	NA	-2.02980722880289	1.03131866902431	-0.879281484243915	NA	NA	3	-1.87777004402249	-0.625923348007498	-1
"Otu1074"	-0.602284492480455	NA	NA	NA	0.201686205199103	0.573601809618416	3	0.173003522337064	0.0576678407790213	1
"Otu108"	NA	-1.69861527695996	-0.0136250723134313	0.450377661279563	NA	NA	3	-1.26186268799383	-0.420620895997943	-1
"Otu1081"	0.120003380904387	NA	NA	NA	0.474210418506986	-1.03409676335328	3	-0.439882963941907	-0.146627654647302	-1
"Otu1084"	-1.08142635090748	NA	NA	NA	0.670542056097928	-0.167878774900404	3	-0.578763069709956	-0.192921023236652	-1
"Otu1086"	-0.719767615096056	2.81354421742335	3.72098922187452	NA	-0.103700387840113	-1.3696490104131	5	4.3414164259486	0.86828328518972	1
"Otu1089"	NA	-2.74510627555668	-0.523503626678898	0.736174778443615	NA	NA	3	-2.53243512379196	-0.844145041263988	-1
"Otu1090"	-0.86639578546579	NA	NA	NA	1.09510865394946	1.57314697412533	3	1.801859842609	0.600619947536333	1
"Otu1091"	-1.34968475700788	NA	-0.408338452653304	-2.35522614147497	NA	-0.381254924444201	4	-4.49450427558036	-1.12362606889509	-1
"Otu1092"	-0.796744871541137	NA	NA	NA	0.331857368843133	-0.462868602135406	3	-0.92775610483341	-0.30925203494447	-1
"Otu1093"	1.69814851753227	1.68848748602282	-0.136938494504017	0.828376046425766	NA	NA	4	4.07807355547684	1.01951838886921	1
"Otu1094"	NA	2.76003020458764	0.220299894893487	-2.23091645832271	NA	NA	3	0.749413641158417	0.249804547052806	1
"Otu11"	NA	-1.44527645750814	-1.01593137444142	-0.807452187763312	NA	NA	3	-3.26866001971287	-1.08955333990429	-1
"Otu110"	NA	1.12664979527821	1.1592850982327	-1.16093702372688	NA	NA	3	1.12499786978403	0.37499928992801	1
"Otu1102"	NA	1.11235337479254	1.06138009479693	-0.351343834604973	NA	NA	3	1.8223896349845	0.607463211661499	1
