Perturbation	Phylum	Class	Order	Family	Genus	Num	Increase	Decrease	Increase2	Decrease2	pVal	Stat
warming	Proteobacteria	Alphaproteobacteria	-	-	-	247	143	104	57.8947368421053	42.1052631578947	0.0154410043323334	Increase
warming	Proteobacteria	Alphaproteobacteria	Acetobacterales	-	-	29	10	19	34.4827586206897	65.5172413793103	0.136045947670937	-
warming	Proteobacteria	Alphaproteobacteria	Ambiguous_taxa	-	-	1	1	0	100	0	1	-
warming	Proteobacteria	Alphaproteobacteria	Azospirillales	-	-	7	4	3	57.1428571428571	42.8571428571429	1	-
warming	Proteobacteria	Alphaproteobacteria	Caulobacterales	-	-	20	13	7	65	35	0.263175964355469	-
warming	Proteobacteria	Alphaproteobacteria	Dongiales	-	-	3	2	1	66.6666666666667	33.3333333333333	1	-
warming	Proteobacteria	Alphaproteobacteria	Elsterales	-	-	46	23	23	50	50	1	-
warming	Proteobacteria	Alphaproteobacteria	Holosporales	-	-	1	1	0	100	0	1	-
warming	Proteobacteria	Alphaproteobacteria	Micropepsales	-	-	8	7	1	87.5	12.5	0.0703125	-
warming	Proteobacteria	Alphaproteobacteria	Reyranellales	-	-	6	6	0	100	0	0.03125	Increase
warming	Proteobacteria	Alphaproteobacteria	Rhizobiales	-	-	83	52	31	62.6506024096386	37.3493975903614	0.0275341780122946	Increase
warming	Proteobacteria	Alphaproteobacteria	Rhodobacterales	-	-	3	0	3	0	100	0.25	-
warming	Proteobacteria	Alphaproteobacteria	Rhodospirillales	-	-	5	5	0	100	0	0.0625	-
warming	Proteobacteria	Alphaproteobacteria	Rickettsiales	-	-	7	6	1	85.7142857142857	14.2857142857143	0.125	-
warming	Proteobacteria	Alphaproteobacteria	Sphingomonadales	-	-	10	6	4	60	40	0.75390625	-
warming	Proteobacteria	Alphaproteobacteria	Tistrellales	-	-	5	0	5	0	100	0.0625	-
warming	Proteobacteria	Alphaproteobacteria	uncultured	-	-	3	1	2	33.3333333333333	66.6666666666667	1	-
warming	Proteobacteria	Alphaproteobacteria	unidentified	-	-	10	6	4	60	40	0.75390625	-
